event_label,Alarm_bell_ringing,Blender,Cat,Dishes,Dog,Electric_shaver_toothbrush,Frying,Running_water,Speech,Vacuum_cleaner
Alarm_bell_ringing,1.0,-0.11414833749727181,-0.10552704913618771,-0.13532489380738352,-0.061247640993173064,-0.10304992380922877,-0.13235026993484703,-0.13221039229073564,0.034439149124127516,-0.11097958346295518
Blender,-0.11414833749727181,1.0,-0.07598350781046549,-0.0320883201614706,-0.10247959366874557,-0.0794506821395639,-0.0908566885453539,-0.09355496261766261,0.02114050451835389,-0.07835517585558055
Cat,-0.10552704913618771,-0.07598350781046549,1.0,-0.11763107306032852,-0.03937029094075915,-0.07231437895917975,-0.09839354949825563,-0.09477184346329859,-0.043254074261875976,-0.08088133624334704
Dishes,-0.13532489380738352,-0.0320883201614706,-0.11763107306032852,1.0,-0.11170656242503878,-0.1179606408328531,0.4564657614979244,-0.05960869522925534,0.07431415157857026,-0.12725064681530263
Dog,-0.061247640993173064,-0.10247959366874557,-0.03937029094075915,-0.11170656242503878,1.0,-0.09053722157287065,-0.11085541707833212,-0.08347953429274757,-0.0010997634445414214,-0.09313791071236315
Electric_shaver_toothbrush,-0.10304992380922877,-0.0794506821395639,-0.07231437895917975,-0.1179606408328531,-0.09053722157287065,1.0,-0.09459278793322835,-0.07966872027287306,0.06443042946895959,-0.08233168129659595
Frying,-0.13235026993484703,-0.0908566885453539,-0.09839354949825563,0.4564657614979244,-0.11085541707833212,-0.09459278793322835,1.0,-0.11209224439921789,0.05281462980799431,-0.09748480287103932
Running_water,-0.13221039229073564,-0.09355496261766261,-0.09477184346329859,-0.05960869522925534,-0.08347953429274757,-0.07966872027287306,-0.11209224439921789,1.0,-0.0018798148482223403,-0.09519091264633812
Speech,0.034439149124127516,0.02114050451835389,-0.043254074261875976,0.07431415157857026,-0.0010997634445414214,0.06443042946895959,0.05281462980799431,-0.0018798148482223403,1.0,-0.01966436512007271
Vacuum_cleaner,-0.11097958346295518,-0.07835517585558055,-0.08088133624334704,-0.12725064681530263,-0.09313791071236315,-0.08233168129659595,-0.09748480287103932,-0.09519091264633812,-0.01966436512007271,1.0
